gene_name	hg19	hg38
ATRX		ATRX
CCND2		CCND2
CDKN2A		CDKN2A
DDR2		DDR2
EGFR		EGFR
FANCA		FANCA
FBXW7		FBXW7
FOSB		FOSB
IGF1R		IGF1R
KDR		KDR
KIT		KIT
MET		MET
PDGFC		PDGFC
PDGFRA		PDGFRA
PTEN		PTEN
SLCO1B3		SLCO1B3
TOP2A		TOP2A
TSC2		TSC2
YES1		YES1
