Gene_Symbol	type	file
BRCA2	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BRD2	Kinase, Oncogene	Kincat_Hsap.08.02.txt, allOnco_Feb2017.tsv
BRD3	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BRD4	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BRD7	TumorSuppressorGene	TumorSuppressorGene.txt
BRDT	Kinase	Kincat_Hsap.08.02.txt
BRE	Oncogene	allOnco_Feb2017.tsv
BRF1	TumorSuppressorGene	TumorSuppressorGene.txt
BRF2	TranscriptionFactor	addTF_JL.tsv
BRINP1	TumorSuppressorGene	TumorSuppressorGene.txt
BRIP1	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BRK	Kinase	Kincat_Hsap.08.02.txt
BRMS1	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
BRMS1L	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
BRSK1	Kinase, TumorSuppressorGene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, PfamKinase
BRSK2	Kinase	Kincat_Hsap.08.02.txt, PfamKinase
BRWD3	Oncogene	allOnco_Feb2017.tsv
BSPRY	Oncogene	allOnco_Feb2017.tsv
BSX	TranscriptionFactor	addTF_JL.tsv
BTBD19	Oncogene	allOnco_Feb2017.tsv
BTG1	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BTG2	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
BTG3	TumorSuppressorGene	TumorSuppressorGene.txt
BTG4	TumorSuppressorGene	TumorSuppressorGene.txt
BTK	Kinase, TumorSuppressorGene, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, PfamKinase
BTRC	Oncogene	allOnco_Feb2017.tsv
BUB1	Kinase, Oncogene	Kincat_Hsap.08.02.txt, allOnco_Feb2017.tsv, PfamKinase
BUB1B	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
BUBR1	Kinase	Kincat_Hsap.08.02.txt
C11orf95	TranscriptionFactor	addTF_JL.tsv
C15ORF65	Oncogene	allOnco_Feb2017.tsv
C15orf65	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
C1ORF64	Oncogene	allOnco_Feb2017.tsv
C2CD5	Oncogene	allOnco_Feb2017.tsv
C2orf40	TumorSuppressorGene	TumorSuppressorGene.txt
C3AR1	Oncogene	allOnco_Feb2017.tsv
CABLES1	TumorSuppressorGene	TumorSuppressorGene.txt
CACNA1D	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
CACNA2D3	TumorSuppressorGene	TumorSuppressorGene.txt
CADM1	TumorSuppressorGene	TumorSuppressorGene.txt
CADM2	TumorSuppressorGene	TumorSuppressorGene.txt
CADM3	TumorSuppressorGene	TumorSuppressorGene.txt
CADM4	TumorSuppressorGene	TumorSuppressorGene.txt
CADPS2	Oncogene	allOnco_Feb2017.tsv
CAGE1	Oncogene	allOnco_Feb2017.tsv
CALCA	Oncogene	allOnco_Feb2017.tsv
CALCR	Oncogene	allOnco_Feb2017.tsv
CALR	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
CAMK1	Kinase	PfamKinase
CAMK1D	Kinase	PfamKinase
CAMK1G	Kinase	PfamKinase
CAMK2A	Kinase	PfamKinase
CAMK2B	Oncogene, Kinase	allOnco_Feb2017.tsv, PfamKinase
CAMK2D	Oncogene, Kinase	allOnco_Feb2017.tsv, PfamKinase
CAMK2G	Kinase	PfamKinase
CAMK2N1	TumorSuppressorGene	TumorSuppressorGene.txt
CAMK4	Kinase	PfamKinase
CAMKK1	Kinase	PfamKinase
CAMKK2	Oncogene, Kinase	allOnco_Feb2017.tsv, PfamKinase
CAMKV	Kinase	PfamKinase
CAMTA1	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
CAMTA2	TranscriptionFactor	addTF_JL.tsv
CANT1	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
CAPG	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
CARD11	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
