Gene_Symbol	type	file
ANHX	TranscriptionFactor	addTF_JL.tsv
ANK1	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ANKK1	Kinase	PfamKinase
ANKRD3	Kinase	Kincat_Hsap.08.02.txt
ANKRD44	Oncogene	allOnco_Feb2017.tsv
ANKZF1	TranscriptionFactor	addTF_JL.tsv
ANLN	Oncogene	allOnco_Feb2017.tsv
ANP32A	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
ANP32B	Oncogene	allOnco_Feb2017.tsv
ANPa	Kinase	Kincat_Hsap.08.02.txt
ANPb	Kinase	Kincat_Hsap.08.02.txt
ANXA1	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
ANXA7	TumorSuppressorGene	TumorSuppressorGene.txt
AP3M2	Oncogene	allOnco_Feb2017.tsv
APAF1	TumorSuppressorGene, Oncogene	TumorSuppressorGene.txt, allOnco_Feb2017.tsv
APC	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
APC2	Oncogene	allOnco_Feb2017.tsv
APEH	Oncogene	allOnco_Feb2017.tsv
APH1A	Oncogene	allOnco_Feb2017.tsv
APITD1	TumorSuppressorGene	TumorSuppressorGene.txt
APLNR	Oncogene	allOnco_Feb2017.tsv
APOBEC2	Oncogene	allOnco_Feb2017.tsv
APOBEC3B	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
AR	CosmicCensus, Oncogene, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
ARAF	Kinase, CosmicCensus, Oncogene	Kincat_Hsap.08.02.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, PfamKinase
ARAFP2	Oncogene	allOnco_Feb2017.tsv
ARAFps	Kinase	Kincat_Hsap.08.02.txt
ARAP2	Oncogene	allOnco_Feb2017.tsv
AREG	Oncogene	allOnco_Feb2017.tsv
ARF1	TumorSuppressorGene	TumorSuppressorGene.txt
ARF6	Oncogene	allOnco_Feb2017.tsv
ARG1	TumorSuppressorGene	TumorSuppressorGene.txt
ARGFX	TranscriptionFactor	addTF_JL.tsv
ARHGAP20	Oncogene	allOnco_Feb2017.tsv
ARHGAP25	Oncogene	allOnco_Feb2017.tsv
ARHGAP26	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ARHGAP29	TumorSuppressorGene	TumorSuppressorGene.txt
ARHGAP35	TranscriptionFactor	addTF_JL.tsv
ARHGAP4	Oncogene	allOnco_Feb2017.tsv
ARHGAP5	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ARHGAP9	Oncogene	allOnco_Feb2017.tsv
ARHGEF10	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ARHGEF10L	CosmicCensus	Census_allTue Sep 17 18_59_30 2019.tsv
ARHGEF12	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ARHGEF2	Oncogene	allOnco_Feb2017.tsv
ARHGEF4	Oncogene	allOnco_Feb2017.tsv
ARID1A	TumorSuppressorGene, CosmicCensus, Oncogene	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ARID1B	CosmicCensus, Oncogene	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv
ARID2	TumorSuppressorGene, CosmicCensus, Oncogene, TranscriptionFactor	TumorSuppressorGene.txt, Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
ARID3A	TranscriptionFactor	addTF_JL.tsv
ARID3B	TranscriptionFactor	addTF_JL.tsv
ARID3C	TranscriptionFactor	addTF_JL.tsv
ARID4A	Oncogene	allOnco_Feb2017.tsv
ARID5A	Oncogene, TranscriptionFactor	allOnco_Feb2017.tsv, addTF_JL.tsv
ARID5B	TranscriptionFactor	addTF_JL.tsv
ARL11	TumorSuppressorGene	TumorSuppressorGene.txt
ARL6IP5	TumorSuppressorGene	TumorSuppressorGene.txt
ARMC10	TumorSuppressorGene	TumorSuppressorGene.txt
ARMC5	TumorSuppressorGene	TumorSuppressorGene.txt
ARMCX1	Oncogene	allOnco_Feb2017.tsv
ARMCX2	Oncogene	allOnco_Feb2017.tsv
ARMCX3	Oncogene	allOnco_Feb2017.tsv
ARNT	CosmicCensus, Oncogene, TranscriptionFactor	Census_allTue Sep 17 18_59_30 2019.tsv, allOnco_Feb2017.tsv, addTF_JL.tsv
ARNT2	TranscriptionFactor	addTF_JL.tsv
ARNTL	TumorSuppressorGene, TranscriptionFactor	TumorSuppressorGene.txt, addTF_JL.tsv
ARNTL2	TranscriptionFactor	addTF_JL.tsv
