gene_name	hg19	hg38
H3F3A	H3F3A	H3-3A
TP53		TP53
ATRX		ATRX
PPM1D		PPM1D
PIK3CA		PIK3CA
NF1		NF1
PIK3R1		PIK3R1
PDGFRA		PDGFRA
ACVR1		ACVR1
PTEN		PTEN
EGFR		EGFR
ATM		ATM
HIST1H3F	HIST1H3F	H3C7
KMT2C		KMT2C
FGFR1		FGFR1
CCND2		CCND2
HIST1H1A	HIST1H1A	H1-1
HIST1H1B	HIST1H1B	H1-5
HIST1H1T	HIST1H1T	H1-6
HIST1H2AA	HIST1H2AA	H2AC1
HIST1H2BA	HIST1H2BA	H2BC1
HIST1H2BD	HIST1H2BD	H2BC5
HIST1H2BE	HIST1H2BE	H2BC6
HIST1H2BF	HIST1H2BF	H2BC7
HIST1H2BL	HIST1H2BL	H2BC13
HIST1H3A	HIST1H3A	H3C1
HIST1H3B	HIST1H3B	H3C2
HIST1H3C	HIST1H3C	H3C3
HIST1H3D	HIST1H3D	H3C4
HIST1H3H	HIST1H3H	H3C10
HIST1H4F	HIST1H4F	H4C6
HIST1H4G	HIST1H4G	H4C7
HIST1H4I	HIST1H4I	H4C9
HIST1H4L	HIST1H4L	H4C13
HIST2H3D	HIST2H3D	H3C13
HIST2H3PS2	HIST2H3PS2	H3-7
HIST3H2A	HIST3H2A	H2AC25
HIST3H2BB	HIST3H2BB	H2BC26
HIST3H3	HIST3H3	H3-4
FBXW7		FBXW7
BRAF		BRAF
MYC		MYC
CDK6		CDK6
MYCN		MYCN
NTRK1		NTRK1
NTRK3		NTRK3
NTRK2		NTRK2
POLE		POLE
TOP2A		TOP2A
DDX11		DDX11
NRAS		NRAS
MTOR		MTOR
PTPN11		PTPN11
KDR		KDR
ASXL1		ASXL1
GNAQ		GNAQ
BCOR		BCOR
KRAS		KRAS
ARID1A		ARID1A
LMNA		LMNA
IDH1		IDH1
IDH2		IDH2
EXO1		EXO1
LIG1		LIG1
MLH1		MLH1
MLH3		MLH3
MSH2		MSH2
MSH3		MSH3
MSH6		MSH6
PCNA		PCNA
PMS2		PMS2
POLD1		POLD1
POLD2		POLD2
POLD3		POLD3
POLD4		POLD4
RFC1		RFC1
RFC2		RFC2
RFC3		RFC3
RFC4		RFC4
RFC5		RFC5
RPA1		RPA1
RPA2		RPA2
RPA3		RPA3
RPA4		RPA4
SSBP1		SSBP1
