fpr	tpr	threshold	gene	shuffled	auroc
0.0	0.0	1.7925439828967855	TP53	True	0.4487012987012987
0.006493506493506494	0.0	0.7925439828967855	TP53	True	0.4487012987012987
0.012987012987012988	0.0	0.784325578327101	TP53	True	0.4487012987012987
0.01948051948051948	0.0	0.7816221884738864	TP53	True	0.4487012987012987
0.025974025974025976	0.0	0.7712705494438008	TP53	True	0.4487012987012987
0.032467532467532464	0.0	0.7568805148629579	TP53	True	0.4487012987012987
0.032467532467532464	0.1	0.7528803898863543	TP53	True	0.4487012987012987
0.032467532467532464	0.2	0.7520807139394728	TP53	True	0.4487012987012987
0.03896103896103896	0.2	0.7449782581087171	TP53	True	0.4487012987012987
0.045454545454545456	0.2	0.7406929604270962	TP53	True	0.4487012987012987
0.05194805194805195	0.2	0.7297892197276726	TP53	True	0.4487012987012987
0.05844155844155844	0.2	0.7175856776801679	TP53	True	0.4487012987012987
0.06493506493506493	0.2	0.7159772233338904	TP53	True	0.4487012987012987
0.07142857142857142	0.2	0.7032732988733075	TP53	True	0.4487012987012987
0.07792207792207792	0.2	0.700465026600435	TP53	True	0.4487012987012987
0.08441558441558442	0.2	0.6977415343127663	TP53	True	0.4487012987012987
0.09090909090909091	0.2	0.6802460425646543	TP53	True	0.4487012987012987
0.09740259740259741	0.2	0.6800783324645203	TP53	True	0.4487012987012987
0.1038961038961039	0.2	0.6786133661559266	TP53	True	0.4487012987012987
0.11038961038961038	0.2	0.6695599602093322	TP53	True	0.4487012987012987
0.11688311688311688	0.2	0.6675685613458888	TP53	True	0.4487012987012987
0.12337662337662338	0.2	0.6675053890999226	TP53	True	0.4487012987012987
0.12987012987012986	0.2	0.6535882888806411	TP53	True	0.4487012987012987
0.13636363636363635	0.2	0.6520157087487243	TP53	True	0.4487012987012987
0.14285714285714285	0.2	0.6485543951945448	TP53	True	0.4487012987012987
0.14935064935064934	0.2	0.6456640149184637	TP53	True	0.4487012987012987
0.15584415584415584	0.2	0.6434130999313662	TP53	True	0.4487012987012987
0.16233766233766234	0.2	0.6428548672377914	TP53	True	0.4487012987012987
0.16883116883116883	0.2	0.6411945474136428	TP53	True	0.4487012987012987
0.17532467532467533	0.2	0.6408719264795477	TP53	True	0.4487012987012987
0.18181818181818182	0.2	0.6405150438772772	TP53	True	0.4487012987012987
0.18831168831168832	0.2	0.6370449488864455	TP53	True	0.4487012987012987
0.19480519480519481	0.2	0.6330267942344325	TP53	True	0.4487012987012987
0.2012987012987013	0.2	0.6317942095019652	TP53	True	0.4487012987012987
0.2077922077922078	0.2	0.6301382774813428	TP53	True	0.4487012987012987
0.21428571428571427	0.2	0.6189674753703813	TP53	True	0.4487012987012987
0.22077922077922077	0.2	0.6186026910412536	TP53	True	0.4487012987012987
0.22727272727272727	0.2	0.6179163903674758	TP53	True	0.4487012987012987
0.23376623376623376	0.2	0.6097337162527166	TP53	True	0.4487012987012987
0.24025974025974026	0.2	0.609235390379306	TP53	True	0.4487012987012987
0.24675324675324675	0.2	0.6068030862926506	TP53	True	0.4487012987012987
0.2532467532467532	0.2	0.6054189456662382	TP53	True	0.4487012987012987
0.2597402597402597	0.2	0.6001631809505766	TP53	True	0.4487012987012987
0.2662337662337662	0.2	0.5996891561885892	TP53	True	0.4487012987012987
0.2727272727272727	0.2	0.5975123471512214	TP53	True	0.4487012987012987
0.2792207792207792	0.2	0.5932757068929523	TP53	True	0.4487012987012987
0.2857142857142857	0.2	0.5932639942593603	TP53	True	0.4487012987012987
0.2922077922077922	0.2	0.5924119379969257	TP53	True	0.4487012987012987
0.2987012987012987	0.2	0.5910677119413664	TP53	True	0.4487012987012987
0.3051948051948052	0.2	0.5889475296492799	TP53	True	0.4487012987012987
0.3116883116883117	0.2	0.5872632583266006	TP53	True	0.4487012987012987
0.3181818181818182	0.2	0.5860088936727043	TP53	True	0.4487012987012987
0.3246753246753247	0.2	0.5843488433245362	TP53	True	0.4487012987012987
0.33116883116883117	0.2	0.5841039540861974	TP53	True	0.4487012987012987
0.33766233766233766	0.2	0.5809656136159741	TP53	True	0.4487012987012987
0.34415584415584416	0.2	0.5774838425528017	TP53	True	0.4487012987012987
0.35064935064935066	0.2	0.5739355510315393	TP53	True	0.4487012987012987
0.35714285714285715	0.2	0.5664585641080854	TP53	True	0.4487012987012987
0.36363636363636365	0.2	0.5648895021590019	TP53	True	0.4487012987012987
0.37012987012987014	0.2	0.5623264386875882	TP53	True	0.4487012987012987
0.37662337662337664	0.2	0.5605401043868137	TP53	True	0.4487012987012987
0.38311688311688313	0.2	0.5563619403561678	TP53	True	0.4487012987012987
0.38961038961038963	0.2	0.5481186685733298	TP53	True	0.4487012987012987
0.3961038961038961	0.2	0.5430226325578036	TP53	True	0.4487012987012987
0.4025974025974026	0.2	0.5415287980401402	TP53	True	0.4487012987012987
0.4090909090909091	0.2	0.539674183315939	TP53	True	0.4487012987012987
0.4155844155844156	0.2	0.5382481241048153	TP53	True	0.4487012987012987
0.42207792207792205	0.2	0.5380376331654011	TP53	True	0.4487012987012987
0.42857142857142855	0.2	0.5379253063218253	TP53	True	0.4487012987012987
0.43506493506493504	0.2	0.5354425835645246	TP53	True	0.4487012987012987
0.44155844155844154	0.2	0.5348633722698343	TP53	True	0.4487012987012987
0.44805194805194803	0.2	0.5295121014408297	TP53	True	0.4487012987012987
0.45454545454545453	0.2	0.528276511886902	TP53	True	0.4487012987012987
0.461038961038961	0.2	0.5277838026236926	TP53	True	0.4487012987012987
0.461038961038961	0.3	0.5208490805219161	TP53	True	0.4487012987012987
