sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_0VXZCRJS	0.671757793992487	0.33757751193291863	0.7368734800034579	0.45654587419463616	0.5486610739650363	0.4774744038353087
BS_3AC3SRWH	0.1816819183781205	0.5721607186105964	0.44685051712263185	0.4595029700514151	0.4351139912643083	0.4541351214648855
BS_4PPHAQXF	0.519795657244537	0.2721679331442049	0.639207911978865	0.3327933809495121	0.7061126695818013	0.5146012408901754
BS_KBEX4RT2	0.7017011693227605	0.0481977883366453	0.5996429044165877	0.3239422595391375	0.43572850975198285	0.5186041415704249
BS_NPA6CZQF	0.2288711816917106	0.6148102993346968	0.3868775643812591	0.46480059678155466	0.5365126003137161	0.4334020176951727
BS_PS0P3QJ3	0.6079665896254459	0.22372287112338954	0.516802693754778	0.8059309573566419	0.5920335946331223	0.6412697472212572
BS_PXCPK5XS	0.8400130913112429	0.7467726165401771	0.4029792348764117	0.49874870724772213	0.3724635091081163	0.654350058306919
BS_RX1YTZ7F	0.6521204614949045	0.697630506844895	0.5060156700779926	0.5328779249322225	0.7681559371872305	0.43789931118169056
BS_SNVM7CZT	0.4267496357151614	0.4285333653297177	0.38855138556221874	0.5311833550725248	0.19313179078494908	0.4465267777613951
BS_W1385R8Y	0.1797127907146267	0.955815239797821	0.38666941482503425	0.3536569295847024	0.5128427230134647	0.4496511336257914
BS_XZM79E42	0.5642275492170516	0.624851955585269	0.4807473056048968	0.6521747280836682	0.48128903425094227	0.3578036433760323
BS_ZD5HN296	0.4746514024128209	0.478164138546664	0.49043347401988696	0.5517976493552144	0.42703005303292363	0.6086289180181954
