sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
BS_TGS109T3	0.760100951206168	0.704708169971979	0.5525465371743601	0.343596056627536	0.44951358599045427	0.4213447589386391
BS_052PZFMK	0.4867398364965312	0.9021576603365651	0.44331811061830323	0.34174338074453503	0.07797616096773836	0.47075922342555937
BS_23QW0BBA	0.8121685635000027	0.1346257581270501	0.40890794395335717	0.4059885534560449	0.38857897524657803	0.31213735669899806
BS_HE0WJRW6	0.797930704500135	0.9762135836956621	0.44635008118722297	0.4878945249600705	0.3284139839084348	0.6448497456243686
BS_SHJA4MR0	0.24780197472804505	0.7856478148564293	0.4836988286813328	0.5750631983764609	0.6356331850294725	0.3987435452779596
BS_8ZS9F31R	0.9411250597036872	0.018494296271632318	0.5067591517341126	0.4877121284006857	0.518717415058129	0.5987602376929327
BS_R5SNFB5B	0.8550738651822689	0.47496075370965973	0.6143600242127077	0.7387080681985598	0.4731900976672511	0.4654357248640352
BS_6WP1FHTE	0.48654344548736217	0.698445868676894	0.5669831141374592	0.39306137084145104	0.3901246082334326	0.5461300123385969
BS_1A6MQ9ZA	0.7381492045038142	0.43051777125564905	0.6256606066010786	0.5684723434793028	0.4221804672096196	0.47944284263916115
BS_JS95PE0J	0.7771083881881324	0.825497381012194	0.6646095468764605	0.43669045035023235	0.6029005805794732	0.5236499101515164
BS_TXZ7KHTQ	0.3660376823803115	0.7819029525662159	0.49370511618227	0.36070807556723083	0.6207599157842294	0.4758327830769264
BS_M1PVEHCM	0.4236538061514871	0.6733311506092783	0.6116449347472275	0.3498027664759779	0.5948533813717745	0.5354784207108441
BS_8PNA0V6R	0.3893121101190173	0.85670897786554	0.3680266715766641	0.5994745555994455	0.5829989898858345	0.48628351180963053
BS_4QW2S1Q8	0.7185831757224547	0.7063792069370067	0.6044579321477835	0.48595876405329114	0.3080651397438473	0.5433258322822966
BS_GW0GKWMS	0.5835909921543072	0.31271513801329986	0.5414392415395157	0.6088686577864718	0.5976860691802905	0.4342467755109386
