sample_id	ras_score	tp53_score	nf1_score	ras_shuffle	tp53_shuffle	nf1_shuffle
C3N-02783	0.485703567171451	0.08253245276791465	0.5804071164730905	0.5034803739022311	0.4465862717273546	0.4973036474123298
C3N-03473	0.8108818226845499	0.7760107850461089	0.5712382751101844	0.5315263056106309	0.3508766241614546	0.529713268054698
C3N-03088	0.7621515659698964	0.21525835137379637	0.5669977905393447	0.32298297419425814	0.6538264164224747	0.4919256555172947
C3L-02984	0.18583541604832843	0.9082808684302037	0.27759638713052043	0.4623526571131992	0.5254659438639534	0.5266785920297432
C3N-01364	0.6654608979109802	0.0030339299249519014	0.5243534858354915	0.4849460892079542	0.39613548970960016	0.47080323421061665
C3N-03184	0.48018200166064523	0.6439977103184089	0.47787546219222005	0.4756908882213169	0.6272300212086586	0.40514411940825196
C3N-02784	0.4381592589723335	0.8375518032327911	0.5596586989604639	0.5347198994196033	0.5334076490894862	0.46607614762012
C3L-03400	0.363985066040594	0.7848000747721431	0.5105424267000054	0.654091793051286	0.7001301672248843	0.473674893766869
C3N-00663	0.41629223085145556	0.8809005578685458	0.456502407771924	0.49976290035984616	0.4377901446463519	0.4127873752211351
C3N-02786	0.9680416508389357	0.8684649760324953	0.7971355897237522	0.4467837621566825	0.6925099825357648	0.4455696936749321
C3L-01142	0.6503205939844268	0.049080186946316814	0.6137204604570485	0.4895245170489395	0.6569128175846682	0.48237004803780487
C3L-02708	0.6762867939726417	0.8677850305410617	0.37281276789296963	0.42521732512975435	0.4571889298075909	0.5803249640135615
C3L-03390	0.7901491496881358	0.49945333335760106	0.5544936561766742	0.35686173568297525	0.4649245040246186	0.4079561193069099
C3N-01798	0.2774716085293436	0.7175271746268356	0.5163106976201122	0.6553915311394298	0.4131186052676475	0.5333498208024414
C3L-00674	0.4399267160208972	0.40114720095830786	0.4231865204940898	0.4016456013543175	0.2246390819667857	0.5275674992106357
C3L-01049	0.8466504583721474	0.932940408468882	0.586214881892635	0.48683601500776325	0.4086068588510922	0.4815537792624241
C3N-01851	0.5643187171288614	0.45746687872719677	0.5344383438184904	0.4796545602749792	0.50007658564044	0.35078034798549995
C3N-02782	0.2954216259940652	0.2056363907926384	0.43903363835793674	0.6503847025227487	0.2466801021479126	0.4913172875491683
