gene	variable	chisq_test_pval	signif
UNG	Sex	0.192086600646475	FALSE
PARP3	Age_Three_Groups	0.201569007136431	FALSE
SMUG1	Sex	0.203208462068952	FALSE
MTOR	Age_Three_Groups	0.203989022976733	FALSE
POLE2	Age_Three_Groups	0.203989022976733	FALSE
RFC3	Age_Three_Groups	0.203989022976733	FALSE
DDR2	Age_Three_Groups	0.213161523673485	FALSE
BLM	Sex	0.220351560692801	FALSE
TOP3A	Age_Two_Groups	0.225731287175806	FALSE
TOP2A	Sex	0.230831042075325	FALSE
IGF1R	Age_Two_Groups	0.240580184090763	FALSE
PARP1	Age_Two_Groups	0.240580184090763	FALSE
PDGFRA	Age_Three_Groups	0.241110103292787	FALSE
RAD50	Age_Three_Groups	0.241110103292787	FALSE
FBXW7	Age_Three_Groups	0.249581459820251	FALSE
LIG1	Sex	0.252126055458092	FALSE
MUS81	Sex	0.252126055458092	FALSE
HMGB1P40	Age_Two_Groups	0.252475034078384	FALSE
ID2	Age_Two_Groups	0.25547653059073	FALSE
KIT	Age_Two_Groups	0.25547653059073	FALSE
POLD2	Age_Three_Groups	0.2567307502548	FALSE
LIG1	Age_Two_Groups	0.259303348447702	FALSE
ACVR1	Age_Two_Groups	0.260346132592268	FALSE
KIT	Age_Three_Groups	0.265544151772791	FALSE
ACVR1	Age_Three_Groups	0.26695118101537	FALSE
EGFR	Age_Three_Groups	0.267675470258002	FALSE
NEIL3	Sex	0.27370949965572	FALSE
XRCC1	Age_Three_Groups	0.276433252112483	FALSE
IGF1R	Age_Three_Groups	0.279554476370259	FALSE
PARP1	Age_Three_Groups	0.279554476370259	FALSE
FYN	Age_Two_Groups	0.282630636459682	FALSE
POLL	Age_Two_Groups	0.282630636459682	FALSE
TSC2	Age_Two_Groups	0.282630636459682	FALSE
NEIL1	Sex	0.295457583243723	FALSE
PPM1D	Sex	0.300608252307349	FALSE
ID2	Age_Three_Groups	0.301088466418031	FALSE
LIG1	Age_Three_Groups	0.302030264243627	FALSE
BRAF	Age_Two_Groups	0.304290791493902	FALSE
OGG1	Sex	0.317196579980935	FALSE
