ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
CLK3	CLK3	CLK3	TRUE	NP_001123500.1	NP_001123500.1
CLK4	CLK4	CLK4	TRUE	NA	NP_065717.1
CLMN	CLMN	CLMN	TRUE	NP_079010.2	NP_079010.2
CLN5	CLN5	CLN5	TRUE	NP_006484.1	NP_006484.1
CLN6	CLN6	CLN6	TRUE	NP_060352.1	NP_060352.1
CLN8	CLN8	CLN8	TRUE	NA	NP_061764.2
CLNS1A	CLNS1A	CLNS1A	TRUE	NP_001284.1	NP_001284.1
CLOCK	CLOCK	CLOCK	TRUE	NP_001254772.1	NP_001254772.1
CLP1	CLP1	CLP1	TRUE	NP_001136069.1	NP_006822.1
CLPB	CLPB	CLPB	TRUE	NP_001245321.1	NP_001245321.1
CLPP	CLPP	CLPP	TRUE	NP_006003.1	NP_006003.1
CLPTM1	CLPTM1	CLPTM1	TRUE	NP_001285.1	NP_001285.1
CLPTM1L	CLPTM1L	CLPTM1L	TRUE	NP_110409.2	NP_110409.2
CLPX	CLPX	CLPX	TRUE	NP_006651.2	NP_006651.2
CLSPN	CLSPN	CLSPN	TRUE	NP_001177410.1	NP_071394.2
CLSTN1	CLSTN1	CLSTN1	TRUE	NP_055759.3	NP_055759.3;NP_001009566.1
CLSTN2	CLSTN2	CLSTN2	TRUE	NP_071414.2	NP_071414.2
CLSTN3	CLSTN3	CLSTN3	TRUE	NP_055533.2	NP_055533.2
CLTA	CLTA	CLTA	TRUE	NP_001070145.1	NP_001070145.1;NP_001171689.1
CLTB	CLTB	CLTB	TRUE	NP_009028.1	NP_009028.1
CLTC	CLTC	CLTC	TRUE	NP_001275582.1	NP_001275582.1
CLU	CLU	CLU	TRUE	NP_001822.3	NP_001822.3
CLUAP1	CLUAP1	CLUAP1	TRUE	NP_001317383.1	NA
CLUH	CLUH	CLUH	TRUE	NP_056044.3	NP_056044.3
CLVS1	CLVS1	CLVS1	TRUE	NP_775790.1	NP_775790.1
CLVS2	CLVS2	CLVS2	TRUE	NP_001010852.2	NP_001010852.2
CLYBL	CLYBL	CLYBL	TRUE	NP_996531.1	NP_996531.1
CMAS	CMAS	CMAS	TRUE	NP_061156.1	NP_061156.1
CMBL	CMBL	CMBL	TRUE	NP_620164.1	NP_620164.1
CMC1	CMC1	CMC1	TRUE	NP_872329.1	NP_872329.1
CMC2	CMC2	CMC2	TRUE	NP_001338896.1	NP_001338896.1
CMC4	CMC4	CMC4	TRUE	NP_001018024.1	NP_001018024.1
CMIP	CMIP	CMIP	TRUE	NP_938204.2	NP_938204.2
CMKLR1	CMKLR1	CMKLR1	TRUE	NP_001135815.1	NP_001135815.1
CMPK1	CMPK1	CMPK1	TRUE	NP_057392.1	NP_057392.1
CMPK2	CMPK2	CMPK2	TRUE	NP_997198.2	NP_997198.2
CMSS1	CMSS1	CMSS1	TRUE	NP_001161396.1	NP_001161396.1
CMTM3	CMTM3	CMTM3	TRUE	NP_001350847.1	NP_001350847.1
CMTM4	CMTM4	CMTM4	TRUE	NP_852662.1	NP_848933.1
CMTM5	CMTM5	CMTM5	TRUE	NP_001032365.1	NP_001032365.1
CMTM6	CMTM6	CMTM6	TRUE	NP_060271.1	NP_060271.1
CMTR1	CMTR1	CMTR1	TRUE	NP_055865.1	NP_055865.1
CMTR2	CMTR2	CMTR2	TRUE	NP_001093112.1	NP_001093112.1
CNBP	CNBP	CNBP	TRUE	NP_001120668.1;NP_001120665.1	NP_001120668.1;NP_001120667.1
CNDP1	CNDP1	CNDP1	TRUE	NP_116038.4	NP_116038.4
CNDP2	CNDP2	CNDP2	TRUE	NP_060705.2	NP_060705.2
CNEP1R1	CNEP1R1	CNEP1R1	TRUE	NP_001268718.1	NP_001268718.1
CNGB3	CNGB3	CNGB3	TRUE	NP_061971.3	NA
CNIH3	CNIH3	CNIH3	TRUE	NP_001309231.1	NP_001309231.1
CNIH4	CNIH4	CNIH4	TRUE	NP_001264128.1	NP_001264128.1
CNKSR2	CNKSR2	CNKSR2	TRUE	NP_001317699.1	NP_055742.2;NP_001317699.1
CNKSR3	CNKSR3	CNKSR3	TRUE	NA	NP_775786.2
CNN1	CNN1	CNN1	TRUE	NP_001290.2	NP_001290.2
CNN2	CNN2	CNN2	TRUE	NP_001290428.1	NP_001290428.1
CNN3	CNN3	CNN3	TRUE	NP_001830.1	NP_001830.1
CNNM1	CNNM1	CNNM1	TRUE	NP_001332816.1	NP_001332816.1
CNNM2	CNNM2	CNNM2	TRUE	NP_060119.3	NP_060119.3
CNNM3	CNNM3	CNNM3	TRUE	NP_060093.3	NP_060093.3
CNNM4	CNNM4	CNNM4	TRUE	NP_064569.3	NP_064569.3
CNOT1	CNOT1	CNOT1	TRUE	NP_057368.3	NP_057368.3;NP_001252541.1
CNOT10	CNOT10	CNOT10	TRUE	NP_056257.1	NP_056257.1
CNOT11	CNOT11	CNOT11	TRUE	NP_060016.3	NP_060016.3
CNOT2	CNOT2	CNOT2	TRUE	NP_001186231.1	NP_001186231.1
CNOT3	CNOT3	CNOT3	TRUE	NP_055331.1	NP_055331.1
CNOT4	CNOT4	CNOT4	TRUE	NP_001177776.1	NP_001177779.1;NP_001177777.1
CNOT6L	CNOT6L	CNOT6L	TRUE	NP_001273719.1	NP_001273719.1
CNOT7	CNOT7	CNOT7	TRUE	NP_001309019.1	NP_001309019.1
CNOT8	CNOT8	CNOT8	TRUE	NP_001288002.1	NP_001288002.1
CNOT9	CNOT9	CNOT9	TRUE	NP_005435.1	NP_005435.1
CNP	CNP	CNP	TRUE	NP_149124.3	NP_149124.3
CNPY2	CNPY2	CNPY2	TRUE	NP_055070.1	NP_055070.1
CNPY3	CNPY3	CNPY3	TRUE	NP_001305771.1	NP_001305771.1
CNPY4	CNPY4	CNPY4	TRUE	NP_689968.1	NP_689968.1
CNR1	CNR1	CNR1	TRUE	NP_001153698.1	NP_001153698.1
CNRIP1	CNRIP1	CNRIP1	TRUE	NP_056278.1	NP_056278.1
CNST	CNST	CNST	TRUE	NP_689822.2	NP_689822.2
CNTFR	CNTFR	CNTFR	TRUE	NP_001193940.1	NP_001193940.1
CNTLN	CNTLN	CNTLN	TRUE	NP_060208.2	NP_060208.2
CNTN1	CNTN1	CNTN1	TRUE	NP_001834.2	NP_001834.2
CNTN2	CNTN2	CNTN2	TRUE	NP_001333012.1	NP_001333012.1
CNTN3	CNTN3	CNTN3	TRUE	NP_065923.1	NP_065923.1
CNTN4	CNTN4	CNTN4	TRUE	NP_001193884.1	NP_001193884.1
CNTN5	CNTN5	CNTN5	TRUE	NP_001230199.1	NP_001230199.1
CNTNAP1	CNTNAP1	CNTNAP1	TRUE	NP_003623.1	NP_003623.1
CNTNAP2	CNTNAP2	CNTNAP2	TRUE	NP_054860.1	NP_054860.1
CNTNAP4	CNTNAP4	CNTNAP4	TRUE	NP_001309107.1	NP_001309107.1
CNTNAP5	CNTNAP5	CNTNAP5	TRUE	NP_570129.1	NP_570129.1
CNTRL	CNTRL	CNTRL	TRUE	NP_001317691.1	NP_008949.4
CNTROB	CNTROB	CNTROB	TRUE	NP_001340132.1	NP_001032221.1
COA1	COA1	COA1	TRUE	NP_001308126.1	NP_001308126.1
