ApprovedGeneSymbol	Symbol.V5	OldSymbol	coding_gene	protein_HOPE	protein_GBM
A1BG	A1BG	A1BG	TRUE	NP_570602.2	NP_570602.2
A2M	A2M	A2M	TRUE	NP_000005.2	NP_000005.2
AAAS	AAAS	AAAS	TRUE	NP_056480.1	NP_056480.1
AACS	AACS	AACS	TRUE	NP_001306769.1	NP_076417.2
AADAT	AADAT	AADAT	TRUE	NP_001273611.1	NP_001273611.1
PRXL2C	PRXL2C	AAED1	TRUE	NP_714542.1	NP_714542.1
AAGAB	AAGAB	AAGAB	TRUE	NP_078942.3	NP_078942.3
AAK1	AAK1	AAK1	TRUE	NP_055726.3	NP_055726.3
AAMDC	AAMDC	AAMDC	TRUE	NP_001350493.1	NP_001303889.1
AAMP	AAMP	AAMP	TRUE	NP_001078.2	NP_001078.2
AAR2	AAR2	AAR2	TRUE	NP_001258803.1	NP_001258803.1
AARS1	AARS1	AARS	TRUE	NP_001596.2	NP_001596.2
AARS2	AARS2	AARS2	TRUE	NP_065796.1	NP_065796.1
AARSD1	AARSD1	AARSD1	TRUE	NP_001248363.1	NP_001248363.1
AASDHPPT	AASDHPPT	AASDHPPT	TRUE	NP_056238.2	NP_056238.2
AASS	AASS	AASS	TRUE	NP_005754.2	NP_005754.2
AATF	AATF	AATF	TRUE	NP_036270.1	NP_036270.1
AATK	AATK	AATK	TRUE	NP_001073864.2	NP_001073864.2
ABAT	ABAT	ABAT	TRUE	NP_000654.2	NP_000654.2
ABCA1	ABCA1	ABCA1	TRUE	NP_005493.2	NP_005493.2
ABCA10	ABCA10	ABCA10	TRUE	NA	NP_525021.3
ABCA2	ABCA2	ABCA2	TRUE	NP_001597.2	NP_001597.2
ABCA3	ABCA3	ABCA3	TRUE	NP_001080.2	NP_001080.2
ABCA5	ABCA5	ABCA5	TRUE	NP_061142.2	NP_061142.2
ABCA7	ABCA7	ABCA7	TRUE	NP_061985.2	NP_061985.2
ABCA8	ABCA8	ABCA8	TRUE	NP_001275914.1	NP_001275914.1
ABCB1	ABCB1	ABCB1	TRUE	NP_000918.2	NP_000918.2
ABCB10	ABCB10	ABCB10	TRUE	NP_036221.2	NP_036221.2
ABCB6	ABCB6	ABCB6	TRUE	NP_001336757.1	NP_001336757.1
ABCB7	ABCB7	ABCB7	TRUE	NP_001258625.1	NP_001258625.1
ABCB8	ABCB8	ABCB8	TRUE	NP_001269220.1	NP_001269220.1
ABCB9	ABCB9	ABCB9	TRUE	NA	NP_001229942.1
ABCC1	ABCC1	ABCC1	TRUE	NP_004987.2	NP_004987.2
ABCC10	ABCC10	ABCC10	TRUE	NP_001185863.1	NP_001185863.1
ABCC3	ABCC3	ABCC3	TRUE	NP_003777.2	NP_003777.2
ABCC4	ABCC4	ABCC4	TRUE	NP_001288758.1	NP_005836.2
ABCC8	ABCC8	ABCC8	TRUE	NA	NP_000343.2
ABCD1	ABCD1	ABCD1	TRUE	NP_000024.2	NP_000024.2
ABCD2	ABCD2	ABCD2	TRUE	NP_005155.1	NP_005155.1
ABCD3	ABCD3	ABCD3	TRUE	NP_002849.1	NP_002849.1
ABCD4	ABCD4	ABCD4	TRUE	NP_001340520.1	NP_001340520.1
ABCE1	ABCE1	ABCE1	TRUE	NP_001035809.1	NP_001035809.1
ABCF1	ABCF1	ABCF1	TRUE	NP_001020262.1	NP_001020262.1
ABCF2	ABCF2	ABCF2	TRUE	NP_005683.2	NP_005683.2
ABCF3	ABCF3	ABCF3	TRUE	NP_060828.2	NP_060828.2
ABCG1	ABCG1	ABCG1	TRUE	NP_004906.3	NP_004906.3
ABCG2	ABCG2	ABCG2	TRUE	NP_001244315.1	NP_001244315.1
ABHD10	ABHD10	ABHD10	TRUE	NP_060864.1	NP_060864.1
ABHD11	ABHD11	ABHD11	TRUE	NP_683710.1	NP_683710.1
ABHD12	ABHD12	ABHD12	TRUE	NP_001035937.1	NP_001035937.1;NP_056415.1
ABHD13	ABHD13	ABHD13	TRUE	NP_116248.2	NP_116248.2
ABHD14B	ABHD14B	ABHD14B	TRUE	NP_001139786.1	NP_001139786.1
ABHD16A	ABHD16A	ABHD16A	TRUE	NP_066983.1	NP_066983.1
ABHD17A	ABHD17A	ABHD17A	TRUE	NP_001123583.1	NP_112490.3
ABHD17B	ABHD17B	ABHD17B	TRUE	NP_001020951.1	NP_001020951.1
ABHD17C	ABHD17C	ABHD17C	TRUE	NP_067037.1	NP_067037.1
ABHD2	ABHD2	ABHD2	TRUE	NP_008942.3	NP_008942.3
ABHD3	ABHD3	ABHD3	TRUE	NP_001295185.1	NP_612213.2
ABHD4	ABHD4	ABHD4	TRUE	NP_071343.2	NP_071343.2
ABHD5	ABHD5	ABHD5	TRUE	NP_001342115.1	NP_001342115.1
ABHD6	ABHD6	ABHD6	TRUE	NP_001307055.1	NP_001307055.1
ABI1	ABI1	ABI1	TRUE	NP_001012768.1;NP_001171590.1	NP_001012768.1;NP_001171590.1
ABI2	ABI2	ABI2	TRUE	NP_001269854.1	NP_005750.4
ABI3	ABI3	ABI3	TRUE	NP_057512.1	NP_057512.1
ABI3BP	ABI3BP	ABI3BP	TRUE	NP_001336258.1	NP_001336258.1
ABL1	ABL1	ABL1	TRUE	NP_005148.2	NP_009297.2
ABL2	ABL2	ABL2	TRUE	NP_001161708.1	NP_001161708.1;NP_009298.1;NP_001161709.1
ABLIM1	ABLIM1	ABLIM1	TRUE	NP_001309815.1;NP_001309811.1;NP_001309812.1;NP_001003407.1	NP_001309811.1;NP_001309815.1;NP_001309814.1
ABLIM2	ABLIM2	ABLIM2	TRUE	NP_001123557.1;NP_001123556.1;NP_001123559.1	NP_001123557.1;NP_001123556.1;NP_001273617.1;NP_001123555.1
ABLIM3	ABLIM3	ABLIM3	TRUE	NP_001287944.1	NP_001287944.1;NP_001332787.1
ABR	ABR	ABR	TRUE	NP_001309770.1	NP_001309770.1;NP_001083.2;NP_001243776.1
ABRACL	ABRACL	ABRACL	TRUE	NP_067066.1	NP_067066.1
ABRAXAS1	ABRAXAS1	ABRAXAS1	TRUE	NP_620775.2	NP_620775.2
ABRAXAS2	ABRAXAS2	ABRAXAS2	TRUE	NP_115558.3	NP_115558.3
ABT1	ABT1	ABT1	TRUE	NP_037507.1	NP_037507.1
ABTB2	ABTB2	ABTB2	TRUE	NP_665803.2	NP_665803.2
ACAA1	ACAA1	ACAA1	TRUE	NP_001598.1	NP_001598.1
ACAA2	ACAA2	ACAA2	TRUE	NP_006102.2	NP_006102.2
ACACA	ACACA	ACACA	TRUE	NP_942131.1	NP_942131.1
ACAD10	ACAD10	ACAD10	TRUE	NP_001130010.1	NP_079523.3
ACAD11	ACAD11	ACAD11	TRUE	NP_115545.3	NP_115545.3
ACAD8	ACAD8	ACAD8	TRUE	NP_055199.1	NP_055199.1
ACAD9	ACAD9	ACAD9	TRUE	NP_054768.2	NP_054768.2
ACADL	ACADL	ACADL	TRUE	NP_001599.1	NP_001599.1
ACADM	ACADM	ACADM	TRUE	NP_000007.1	NP_000007.1
ACADS	ACADS	ACADS	TRUE	NP_000008.1	NP_000008.1
ACADSB	ACADSB	ACADSB	TRUE	NP_001600.1	NP_001600.1
ACADVL	ACADVL	ACADVL	TRUE	NP_000009.1	NP_000009.1
ACAN	ACAN	ACAN	TRUE	NP_037359.3;NP_001126.3	NP_037359.3;NP_001126.3
ACAP2	ACAP2	ACAP2	TRUE	NP_036419.3	NP_036419.3
ACAP3	ACAP3	ACAP3	TRUE	NP_085152.2	NP_085152.2
ACAT1	ACAT1	ACAT1	TRUE	NP_000010.1	NP_000010.1
ACAT2	ACAT2	ACAT2	TRUE	NP_005882.2	NP_005882.2
ACBD3	ACBD3	ACBD3	TRUE	NP_073572.2	NP_073572.2
ACBD4	ACBD4	ACBD4	TRUE	NA	NP_001129177.1
ACBD5	ACBD5	ACBD5	TRUE	NP_001035938.1;NP_001339497.1	NP_001035938.1;NP_001339497.1
ACBD6	ACBD6	ACBD6	TRUE	NP_115736.1	NP_115736.1
ACBD7	ACBD7	ACBD7	TRUE	NP_001034933.1	NP_001034933.1
ACD	ACD	ACD	TRUE	NP_001075955.1	NP_001075955.1
ACE	ACE	ACE	TRUE	NP_000780.1	NP_000780.1
ACHE	ACHE	ACHE	TRUE	NP_000656.1	NP_000656.1
ACIN1	ACIN1	ACIN1	TRUE	NP_001158287.1	NP_001158287.1;NP_001158286.1
ACLY	ACLY	ACLY	TRUE	NP_001087.2	NP_001087.2
ACO1	ACO1	ACO1	TRUE	NP_001265281.1	NP_001265281.1
ACO2	ACO2	ACO2	TRUE	NP_001089.1	NP_001089.1
ACOT11	ACOT11	ACOT11	TRUE	NP_671517.1	NP_671517.1
ACOT13	ACOT13	ACOT13	TRUE	NP_060943.1	NP_060943.1
ACOT7	ACOT7	ACOT7	TRUE	NP_863654.1	NP_863654.1
ACOT8	ACOT8	ACOT8	TRUE	NP_005460.2	NP_005460.2
ACOT9	ACOT9	ACOT9	TRUE	NP_001028755.2;NP_001032248.1	NP_001028755.2;NP_001032248.1
ACOX1	ACOX1	ACOX1	TRUE	NP_004026.2	NP_004026.2
ACOX2	ACOX2	ACOX2	TRUE	NP_003491.1	NP_003491.1
ACOX3	ACOX3	ACOX3	TRUE	NP_003492.2	NP_003492.2
ACP1	ACP1	ACP1	TRUE	NP_004291.1;NP_009030.1	NP_004291.1;NP_009030.1
ACP2	ACP2	ACP2	TRUE	NP_001289418.1	NP_001289418.1
ACP5	ACP5	ACP5	TRUE	NP_001104504.1	NP_001104504.1
ACP6	ACP6	ACP6	TRUE	NP_057445.4	NP_057445.4
ACSBG1	ACSBG1	ACSBG1	TRUE	NP_001186306.1	NP_001186306.1
ACSF2	ACSF2	ACSF2	TRUE	NP_001275897.1	NP_001275897.1
ACSF3	ACSF3	ACSF3	TRUE	NP_001120686.1	NP_001120686.1
ACSL1	ACSL1	ACSL1	TRUE	NP_001273637.1	NP_001273637.1
ACSL3	ACSL3	ACSL3	TRUE	NP_001341087.1	NP_001341087.1
ACSL4	ACSL4	ACSL4	TRUE	NP_001305438.1	NP_001305438.1
ACSL5	ACSL5	ACSL5	TRUE	NP_057318.2	NP_057318.2
ACSL6	ACSL6	ACSL6	TRUE	NP_001192177.1;NP_001009185.1	NP_001009185.1;NP_056071.2
ACSM5	ACSM5	ACSM5	TRUE	NP_001311300.1	NP_001311300.1
ACSS1	ACSS1	ACSS1	TRUE	NP_001239604.1	NP_001239604.1
ACSS2	ACSS2	ACSS2	TRUE	NP_001070020.2	NP_001070020.2
ACSS3	ACSS3	ACSS3	TRUE	NP_001317171.1	NP_001317171.1
ACTA1	ACTA1	ACTA1	TRUE	NP_001091.1	NP_001091.1
ACTA2	ACTA2	ACTA2	TRUE	NP_001135417.1	NP_001135417.1
ACTB	ACTB	ACTB	TRUE	NP_001092.1	NP_001092.1
ACTBL2	ACTBL2	ACTBL2	TRUE	NP_001017992.1	NP_001017992.1
ACTG1	ACTG1	ACTG1	TRUE	NP_001186883.1	NP_001186883.1
ACTL6A	ACTL6A	ACTL6A	TRUE	NP_004292.1	NP_004292.1
ACTL6B	ACTL6B	ACTL6B	TRUE	NP_057272.1	NP_057272.1
ACTN1	ACTN1	ACTN1	TRUE	NP_001123476.1;NP_001093.1	NP_001123476.1;NP_001093.1
ACTN2	ACTN2	ACTN2	TRUE	NP_001094.1;NP_001265272.1	NP_001094.1;NP_001265272.1
ACTN3	ACTN3	ACTN3	TRUE	NP_001095.2	NP_001095.2
ACTN4	ACTN4	ACTN4	TRUE	NP_004915.2;NP_001308962.1	NP_004915.2;NP_001308962.1
ACTR10	ACTR10	ACTR10	TRUE	NP_060947.1	NP_060947.1
ACTR1A	ACTR1A	ACTR1A	TRUE	NP_005727.1	NP_005727.1
ACTR1B	ACTR1B	ACTR1B	TRUE	NP_005726.1	NP_005726.1
ACTR2	ACTR2	ACTR2	TRUE	NP_005713.1;NP_001005386.1	NP_001005386.1;NP_005713.1
ACTR3	ACTR3	ACTR3	TRUE	NP_005712.1	NP_005712.1
ACTR3B	ACTR3B	ACTR3B	TRUE	NP_065178.1	NP_065178.1
ACTR5	ACTR5	ACTR5	TRUE	NP_079131.3	NP_079131.3
ACTR6	ACTR6	ACTR6	TRUE	NP_071941.1	NP_071941.1
ACTR8	ACTR8	ACTR8	TRUE	NP_075050.3	NP_075050.3
ACVR1	ACVR1	ACVR1	TRUE	NP_001096.1	NP_001096.1
ACVR1B	ACVR1B	ACVR1B	TRUE	NP_004293.1	NP_004293.1
ACVR2A	ACVR2A	ACVR2A	TRUE	NP_001265508.1	NP_001265508.1
ACY3	ACY3	ACY3	TRUE	NP_542389.1	NP_542389.1
ACYP1	ACYP1	ACYP1	TRUE	NP_001289546.1	NP_001289546.1
ACYP2	ACYP2	ACYP2	TRUE	NP_612457.1	NP_612457.1
ADA	ADA	ADA	TRUE	NP_000013.2	NP_000013.2
ADA2	ADA2	ADA2	TRUE	NP_001269154.1	NP_001269154.1
ADAL	ADAL	ADAL	TRUE	NP_001152752.1	NP_001311295.1
ADAM10	ADAM10	ADAM10	TRUE	NP_001101.1	NP_001101.1
ADAM11	ADAM11	ADAM11	TRUE	NP_001305862.1	NP_001305862.1
ADAM12	ADAM12	ADAM12	TRUE	NA	NP_001275902.1
ADAM15	ADAM15	ADAM15	TRUE	NP_997077.1	NP_997077.1
ADAM17	ADAM17	ADAM17	TRUE	NP_003174.3	NP_003174.3
ADAM22	ADAM22	ADAM22	TRUE	NP_001311349.1;NP_001311347.1	NP_001311347.1;NP_001311349.1
ADAM23	ADAM23	ADAM23	TRUE	NP_003803.1	NP_003803.1
ADAM9	ADAM9	ADAM9	TRUE	NP_003807.1	NP_003807.1
ADAMTS1	ADAMTS1	ADAMTS1	TRUE	NA	NP_008919.3
ADAMTS2	ADAMTS2	ADAMTS2	TRUE	NP_055059.2	NP_055059.2
ADAMTS4	ADAMTS4	ADAMTS4	TRUE	NP_005090.3	NP_005090.3
ADAMTS7	ADAMTS7	ADAMTS7	TRUE	NP_055087.2	NP_055087.2
ADAMTSL2	ADAMTSL2	ADAMTSL2	TRUE	NP_001138792.1	NP_001138792.1
ADAMTSL4	ADAMTSL4	ADAMTSL4	TRUE	NP_001275536.1	NP_001275536.1
ADAP1	ADAP1	ADAP1	TRUE	NP_001271237.1	NP_001271237.1
ADAP2	ADAP2	ADAP2	TRUE	NA	NP_001333641.1
ADAR	ADAR	ADAR	TRUE	NP_001102.3;NP_056655.2	NP_001102.3;NP_056656.2
ADARB1	ADARB1	ADARB1	TRUE	NP_056648.1	NP_056648.1
ADAT1	ADAT1	ADAT1	TRUE	NP_001311373.1	NP_001311374.1
ADAT2	ADAT2	ADAT2	TRUE	NP_872309.2	NP_872309.2
ADAT3	ADAT3	ADAT3	TRUE	NP_001316462.1	NP_001316462.1
ADCK1	ADCK1	ADCK1	TRUE	NP_065154.2	NP_065154.2
ADCK5	ADCK5	ADCK5	TRUE	NP_777582.4	NP_777582.4
ADCY1	ADCY1	ADCY1	TRUE	NP_066939.1	NP_066939.1
ADCY2	ADCY2	ADCY2	TRUE	NP_065433.2	NP_065433.2
ADCY3	ADCY3	ADCY3	TRUE	NP_001307542.1	NP_001307542.1
ADCY5	ADCY5	ADCY5	TRUE	NP_899200.1	NP_899200.1
ADCY6	ADCY6	ADCY6	TRUE	NP_056085.1	NP_056085.1
ADCY7	ADCY7	ADCY7	TRUE	NP_001105.1	NP_001105.1
ADCY8	ADCY8	ADCY8	TRUE	NP_001106.1	NP_001106.1
ADCY9	ADCY9	ADCY9	TRUE	NP_001107.2	NP_001107.2
ADCYAP1R1	ADCYAP1R1	ADCYAP1R1	TRUE	NP_001186566.1	NP_001186566.1
ADD1	ADD1	ADD1	TRUE	NP_789771.1;NP_001341691.1;NP_001341686.1	NP_789771.1;NP_001341690.1
ADD2	ADD2	ADD2	TRUE	NP_001171983.1;NP_059516.2	NP_001171983.1;NP_059516.2
ADD3	ADD3	ADD3	TRUE	NP_001112.2	NP_001112.2;NP_001307520.1
ADGRA1	ADGRA1	ADGRA1	TRUE	NP_001077378.1	NP_001077378.1
ADGRA3	ADGRA3	ADGRA3	TRUE	NP_660333.2	NP_660333.2
ADGRB1	ADGRB1	ADGRB1	TRUE	NP_001693.2	NP_001693.2
ADGRB2	ADGRB2	ADGRB2	TRUE	NP_001281264.1	NP_001281264.1
ADGRB3	ADGRB3	ADGRB3	TRUE	NP_001695.1	NP_001695.1
ADGRE2	ADGRE2	ADGRE2	TRUE	NP_001257981.1	NP_001257981.1
ADGRE5	ADGRE5	ADGRE5	TRUE	NP_001020331.1	NP_510966.1
ADGRF5	ADGRF5	ADGRF5	TRUE	NP_001091988.1	NP_001091988.1
ADGRG1	ADGRG1	ADGRG1	TRUE	NP_001139242.1	NP_001139242.1
ADGRL1	ADGRL1	ADGRL1	TRUE	NP_001008701.1	NP_001008701.1
ADGRL2	ADGRL2	ADGRL2	TRUE	NP_001284633.1	NP_001284633.1;NP_001337627.1
ADGRL3	ADGRL3	ADGRL3	TRUE	NP_001309331.1;NP_001309175.1	NP_001309331.1;NP_001309175.1
ADGRL4	ADGRL4	ADGRL4	TRUE	NP_071442.2	NP_071442.2
ADH1B	ADH1B	ADH1B	TRUE	NP_000659.2	NP_000659.2
ADH5	ADH5	ADH5	TRUE	NP_000662.3	NP_000662.3
ADHFE1	ADHFE1	ADHFE1	TRUE	NP_653251.2	NP_653251.2
ADI1	ADI1	ADI1	TRUE	NP_060739.2	NP_060739.2
ADIPOQ	ADIPOQ	ADIPOQ	TRUE	NP_001171271.1	NP_001171271.1
ADIPOR1	ADIPOR1	ADIPOR1	TRUE	NP_001277482.1	NP_001277482.1
ADIRF	ADIRF	ADIRF	TRUE	NP_006820.1	NP_006820.1
ADK	ADK	ADK	TRUE	NP_006712.2	NP_006712.2
ADM	ADM	ADM	TRUE	NP_001115.1	NP_001115.1
ADNP	ADNP	ADNP	TRUE	NP_001269460.1	NP_001269460.1
ADNP2	ADNP2	ADNP2	TRUE	NA	NP_055728.1
ADO	ADO	ADO	TRUE	NP_116193.2	NP_116193.2
ADORA1	ADORA1	ADORA1	TRUE	NP_000665.1	NP_000665.1
ADPGK	ADPGK	ADPGK	TRUE	NP_112574.3	NP_112574.3
ADPRH	ADPRH	ADPRH	TRUE	NP_001116.1	NP_001116.1
ADPRHL1	ADPRHL1	ADPRHL1	TRUE	NA	NP_612439.2
ADPRS	ADPRS	ADPRHL2	TRUE	NP_060295.1	NP_060295.1
ADRA2A	ADRA2A	ADRA2A	TRUE	NP_000672.3	NP_000672.3
ADRM1	ADRM1	ADRM1	TRUE	NP_008933.2	NP_008933.2
ADSL	ADSL	ADSL	TRUE	NP_000017.1	NP_000017.1
ADSS2	ADSS2	ADSS	TRUE	NP_001117.2	NP_001117.2
ADSS1	ADSS1	ADSSL1	TRUE	NP_689541.1	NP_689541.1
AEBP1	AEBP1	AEBP1	TRUE	NP_001120.3	NP_001120.3
AEBP2	AEBP2	AEBP2	TRUE	NP_001107648.1	NP_001107648.1
TLE5	TLE5	AES	TRUE	NP_001121.2	NP_001121.2
AFAP1	AFAP1	AFAP1	TRUE	NP_001128119.1	NP_940997.1;NP_001128119.1
AFAP1L1	AFAP1L1	AFAP1L1	TRUE	NP_001309991.1	NP_001309991.1
AFAP1L2	AFAP1L2	AFAP1L2	TRUE	NP_001001936.1;NP_001337993.1	NP_001001936.1;NP_001337993.1
AFDN	AFDN	AFDN	TRUE	NP_001278893.1;NP_001193937.1	NP_001278893.1;NP_001193937.1
AFF1	AFF1	AFF1	TRUE	NP_001160165.1	NP_001160165.1
AFF3	AFF3	AFF3	TRUE	NP_001020279.1	NP_001020279.1
AFF4	AFF4	AFF4	TRUE	NP_055238.1	NP_055238.1
AFG1L	AFG1L	AFG1L	TRUE	NP_660358.2	NP_660358.2
AFG3L2	AFG3L2	AFG3L2	TRUE	NP_006787.2	NP_006787.2
AFM	AFM	AFM	TRUE	NP_001124.1	NP_001124.1
AFTPH	AFTPH	AFTPH	TRUE	NP_001002243.1	NP_001002243.1
AGA	AGA	AGA	TRUE	NP_000018.2	NP_000018.2
AGAP1	AGAP1	AGAP1	TRUE	NP_001032208.1	NP_055729.2
AGAP2	AGAP2	AGAP2	TRUE	NP_001116244.1	NP_001116244.1;NP_055585.1
AGAP3	AGAP3	AGAP3	TRUE	NP_001295234.1;NP_114152.3	NP_114152.3;NP_001295234.1
AGFG1	AGFG1	AGFG1	TRUE	NP_001128659.1	NP_001128659.1
AGFG2	AGFG2	AGFG2	TRUE	NP_006067.3	NP_006067.3
AGGF1	AGGF1	AGGF1	TRUE	NP_060516.2	NP_060516.2
AGK	AGK	AGK	TRUE	NP_060708.1	NP_060708.1
AGL	AGL	AGL	TRUE	NP_000019.2	NP_000019.2
AGMAT	AGMAT	AGMAT	TRUE	NP_079034.3	NP_079034.3
AGO1	AGO1	AGO1	TRUE	NP_001304051.1	NP_001304051.1
AGO2	AGO2	AGO2	TRUE	NP_036286.2	NP_036286.2
AGO3	AGO3	AGO3	TRUE	NP_079128.2	NP_079128.2
AGO4	AGO4	AGO4	TRUE	NA	NP_060099.2
AGPAT1	AGPAT1	AGPAT1	TRUE	NP_006402.1	NP_006402.1
AGPAT2	AGPAT2	AGPAT2	TRUE	NP_006403.2	NP_006403.2
AGPAT3	AGPAT3	AGPAT3	TRUE	NP_001032642.1	NP_001032642.1
AGPAT4	AGPAT4	AGPAT4	TRUE	NP_064518.1	NP_064518.1
AGPAT5	AGPAT5	AGPAT5	TRUE	NP_060831.2	NP_060831.2
AGPS	AGPS	AGPS	TRUE	NP_003650.1	NP_003650.1
AGRN	AGRN	AGRN	TRUE	NP_940978.2;NP_001292204.1	NP_940978.2
AGT	AGT	AGT	TRUE	NP_000020.1	NP_000020.1
AGTPBP1	AGTPBP1	AGTPBP1	TRUE	NP_001273644.1	NP_001273644.1
AGTRAP	AGTRAP	AGTRAP	TRUE	NP_065083.3	NP_065083.3
AHCTF1	AHCTF1	AHCTF1	TRUE	NP_001310271.1	NP_001310271.1
AHCY	AHCY	AHCY	TRUE	NP_000678.1	NP_000678.1
AHCYL1	AHCYL1	AHCYL1	TRUE	NP_006612.2	NP_006612.2
AHCYL2	AHCYL2	AHCYL2	TRUE	NP_056143.1	NP_056143.1;NP_001124192.1
AHDC1	AHDC1	AHDC1	TRUE	NP_001025053.1	NP_001025053.1
AHNAK	AHNAK	AHNAK	TRUE	NP_001333374.1	NP_001333374.1;NP_076965.2
AHNAK2	AHNAK2	AHNAK2	TRUE	NP_612429.2	NP_612429.2
AHR	AHR	AHR	TRUE	NP_001612.1	NP_001612.1
AHSA1	AHSA1	AHSA1	TRUE	NP_036243.1	NP_036243.1
AHSG	AHSG	AHSG	TRUE	NP_001613.2	NP_001341502.1
AHSP	AHSP	AHSP	TRUE	NP_001305150.1	NP_001305150.1
AIDA	AIDA	AIDA	TRUE	NP_073742.2	NP_073742.2
AIF1	AIF1	AIF1	TRUE	NP_001614.3	NP_001614.3
AIF1L	AIF1L	AIF1L	TRUE	NP_113614.1	NP_113614.1
AIFM1	AIFM1	AIFM1	TRUE	NP_004199.1	NP_004199.1
AIFM2	AIFM2	AIFM2	TRUE	NP_001185625.1	NP_001185625.1
AIFM3	AIFM3	AIFM3	TRUE	NP_001018070.1	NP_001018070.1
AIG1	AIG1	AIG1	TRUE	NP_001350650.1	NP_001350650.1
AIMP1	AIMP1	AIMP1	TRUE	NP_001135887.1	NP_001135888.1
AIMP2	AIMP2	AIMP2	TRUE	NP_006294.2;NP_001313535.1;NP_001313536.1	NP_006294.2;NP_001313536.1;NP_001313535.1
AIP	AIP	AIP	TRUE	NP_003968.3	NP_003968.3
AJAP1	AJAP1	AJAP1	TRUE	NP_001035943.1	NP_001035943.1
AJM1	AJM1	AJM1	TRUE	NP_001073951.2	NP_001073951.2
AJUBA	AJUBA	AJUBA	TRUE	NP_116265.1	NP_116265.1
AK1	AK1	AK1	TRUE	NP_000467.1	NP_000467.1
AK2	AK2	AK2	TRUE	NP_001306070.1	NP_037543.1
AK3	AK3	AK3	TRUE	NP_057366.2	NP_057366.2
AK4	AK4	AK4	TRUE	NP_001005353.1	NP_001005353.1
AK5	AK5	AK5	TRUE	NP_777283.1	NP_777283.1
AK6	AK6	AK6	TRUE	NP_001015891.1	NP_057367.1
AKAP1	AKAP1	AKAP1	TRUE	NP_001229831.1	NP_001229831.1
AKAP10	AKAP10	AKAP10	TRUE	NP_009133.2	NP_009133.2
AKAP11	AKAP11	AKAP11	TRUE	NP_057332.1	NP_057332.1
AKAP12	AKAP12	AKAP12	TRUE	NP_005091.2	NP_005091.2
AKAP13	AKAP13	AKAP13	TRUE	NP_006729.4	NP_006729.4
AKAP17A	AKAP17A	AKAP17A	TRUE	NP_005079.2	NP_005079.2
AKAP4	AKAP4	AKAP4	TRUE	NA	NP_003877.2
AKAP5	AKAP5	AKAP5	TRUE	NP_004848.3	NP_004848.3
AKAP6	AKAP6	AKAP6	TRUE	NP_004265.3	NP_004265.3
AKAP7	AKAP7	AKAP7	TRUE	NP_057461.2	NP_057461.2
AKAP8	AKAP8	AKAP8	TRUE	NP_005849.1	NP_005849.1
AKAP8L	AKAP8L	AKAP8L	TRUE	NP_055186.3	NP_055186.3
AKAP9	AKAP9	AKAP9	TRUE	NP_671714.1	NP_005742.4
AKNA	AKNA	AKNA	TRUE	NP_001304879.1	NP_001304879.1
AKR1A1	AKR1A1	AKR1A1	TRUE	NP_001189342.1	NP_001189342.1
AKR1B1	AKR1B1	AKR1B1	TRUE	NP_001619.1	NP_001619.1
AKR1C1	AKR1C1	AKR1C1	TRUE	NP_001344.2	NP_001344.2
AKR1C2	AKR1C2	AKR1C2	TRUE	NP_001345.1	NP_001345.1
AKR1C3	AKR1C3	AKR1C3	TRUE	NP_001240837.1	NP_001240837.1
AKR7A2	AKR7A2	AKR7A2	TRUE	NP_003680.2	NP_003680.2
AKR7A3	AKR7A3	AKR7A3	TRUE	NP_036199.2	NP_036199.2
AKT1	AKT1	AKT1	TRUE	NP_001014431.1	NP_001014431.1
AKT1S1	AKT1S1	AKT1S1	TRUE	NP_115751.3	NP_001092102.1
AKT2	AKT2	AKT2	TRUE	NP_001617.1	NP_001617.1
AKT3	AKT3	AKT3	TRUE	NP_001193658.1	NP_005456.1
AKTIP	AKTIP	AKTIP	TRUE	NP_001012398.1	NP_001012398.1
ALAD	ALAD	ALAD	TRUE	NP_000022.3;NP_001304674.1	NP_000022.3;NP_001304674.1
ALAS1	ALAS1	ALAS1	TRUE	NP_000679.1	NP_000679.1
ALB	ALB	ALB	TRUE	NP_000468.1	NP_000468.1
ALCAM	ALCAM	ALCAM	TRUE	NP_001230209.1	NP_001230209.1
ALDH16A1	ALDH16A1	ALDH16A1	TRUE	NP_699160.2	NP_699160.2
ALDH18A1	ALDH18A1	ALDH18A1	TRUE	NP_001310342.1	NP_001310342.1
ALDH1A1	ALDH1A1	ALDH1A1	TRUE	NP_000680.2	NP_000680.2
ALDH1A2	ALDH1A2	ALDH1A2	TRUE	NP_003879.2	NP_003879.2
ALDH1A3	ALDH1A3	ALDH1A3	TRUE	NP_000684.2	NP_000684.2
ALDH1B1	ALDH1B1	ALDH1B1	TRUE	NP_000683.3	NP_000683.3
ALDH1L1	ALDH1L1	ALDH1L1	TRUE	NP_036322.2	NP_036322.2
ALDH1L2	ALDH1L2	ALDH1L2	TRUE	NP_001029345.2	NP_001029345.2
ALDH2	ALDH2	ALDH2	TRUE	NP_000681.2	NP_000681.2
ALDH3A1	ALDH3A1	ALDH3A1	TRUE	NP_000682.3	NP_000682.3
ALDH3A2	ALDH3A2	ALDH3A2	TRUE	NP_000373.1	NP_000373.1
ALDH3B1	ALDH3B1	ALDH3B1	TRUE	NP_000685.1	NP_000685.1
