PID	sample	total_reads	intratel_reads	gc_bins_for_correction	total_reads_with_tel_gc	tel_content
C47478_7316-194	tumor	1803859460	110212	48-52	215592122	511.206063
C524349_7316-2152	control	944874110	61002	48-52	112852143	540.547998
C524349_7316-2152	tumor	1650896067	111266	48-52	195112325	570.266384
C53013_7316-3303	control	607223954	21276	48-52	73559286	289.236086
C53013_7316-3303	tumor	1553171106	230509	48-52	189884480	1213.943341
C56826_7316-195	control	790774793	50757	48-52	91389045	555.394796
C56826_7316-195	tumor	1753110276	82541	48-52	222189952	371.488446
C57441_7316-204	control	762421054	36193	48-52	88376725	409.530903
C57441_7316-204	tumor	1862525451	83005	48-52	223828906	370.841289
C597288_7316-1956	control	783555736	44243	48-52	93505727	473.158184
C597288_7316-1956	tumor	1968492713	159637	48-52	233918681	682.446564
C624225_7316-2176	control	976759902	52339	48-52	113886822	459.570292
C624225_7316-2176	tumor	1890591973	76622	48-52	219854428	348.512426
C714384_7316-2594	control	900870242	63792	48-52	107465458	593.604691
C714384_7316-2594	tumor	1531869824	153720	48-52	178012026	863.537163
C714384_7316-3058	control	900870242	63792	48-52	107465458	593.604691
C714384_7316-3058	tumor	1598818486	192320	48-52	188684168	1019.269407
C744765_7316-3000	control	821559248	54262	48-52	97921457	554.137997
C744765_7316-3000	tumor	1403174460	87215	48-52	166549417	523.658393
C789168_7316-2857	control	742937956	30124	48-52	88436985	340.626719
C789168_7316-2857	tumor	1703868726	40936	48-52	211154284	193.867722
C801468_7316-2151	control	821342140	46477	48-52	97776542	475.338962
C801468_7316-2151	tumor	1375025024	37535	48-52	166855680	224.954883
C821517_7316UP-2035	control	648990732	24359	48-52	79567361	306.143118
C821517_7316UP-2035	tumor	1637967502	50067	48-52	191724096	261.140884
C827913_7316UP-2333	control	949419680	53122	48-52	114393213	464.380697
C827913_7316UP-2333	tumor	1911896948	101684	48-52	233150669	436.129995
C860262_7316UP-1962	control	1303259530	65588	48-52	156057376	420.28132
C860262_7316UP-1962	tumor	1601355004	117429	48-52	194211950	604.643535
C88806_7316-1769	control	817561827	38089	48-52	100159705	380.28267
C88806_7316-1769	tumor	1829883576	331524	48-52	217578763	1523.696502
C89052_7316-409	control	963917056	50465	48-52	115060995	438.593461
C89052_7316-409	tumor	1811822330	162839	48-52	211391086	770.321034
C944025_7316-3521	control	701535061	27866	48-52	84075618	331.439728
C944025_7316-3521	tumor	1518680719	81014	48-52	187467890	432.148674
C944517_7316-3075	control	766991164	43359	48-52	91070978	476.101179
C944517_7316-3075	tumor	1581319614	78017	48-52	188999926	412.788521
C946485_7316-2274	control	596652956	26135	48-52	71918625	363.396825
C946485_7316-2274	tumor	1454836175	60033	48-52	175408361	342.247084
C94956_7316-445	control	974536822	55495	48-52	119598855	464.009459
C94956_7316-445	tumor	1802996211	286179	48-52	214463987	1334.391867
C952635_7316-3765	control	667854616	23791	48-52	78213687	304.179497
C952635_7316-3765	tumor	1629988312	620950	48-52	195968538	3168.620873
C952758_7316-3769	control	661614210	21742	48-52	78917439	275.503112
C952758_7316-3769	tumor	1591262953	46823	48-52	190967580	245.188215
C973299_7316-3771	control	730138999	26597	48-52	86576645	307.207562
C973299_7316-3771	tumor	1532033492	53726	48-52	180538805	297.586992
C975144_7316-3935	control	612626771	19267	48-52	72522985	265.667498
C975144_7316-3935	tumor	1563855488	73648	48-52	185923605	396.119686
C979572_7316-3625	control	782410904	39302	48-52	91491735	429.568857
C979572_7316-3625	tumor	1542213245	63827	48-52	181934767	350.823545
C984738_7316-4065	control	605574028	23098	48-52	72309683	319.431631
C984738_7316-4065	tumor	1336362204	40435	48-52	159667689	253.244725
C99753_7316-466	control	775629058	43460	48-52	89743516	484.268969
C99753_7316-466	tumor	1511133964	32364	48-52	174707357	185.246921
C827913_7316UP-2058	tumor	3165140000	140912	48-52	384846102	366.151558
C827913_7316UP-2058	control	949419680	53122	48-52	114393213	464.380697
C860262_7316UP-2403	tumor	2844690000	193170	48-52	341516695	565.623886
C860262_7316UP-2403	control	1219210058	55781	48-52	158511758	351.904494
