gene	variable	chisq_test_pval	signif
NF1	Sex	0.0167333591424389	TRUE
IDH1	Sex	0.0407757292202652	TRUE
TSC2	Sex	0.0407757292202652	TRUE
EGFR	Sex	0.0481704897867507	TRUE
NTRK3	Sex	0.0621247662271944	FALSE
LRP1B	Sex	0.0714359367386967	FALSE
APOBEC3A	Sex	0.116887408728604	FALSE
DUX4	Sex	0.116887408728604	FALSE
PDGFRA	Sex	0.125142161035789	FALSE
NTRK3	Age	0.138660839899984	FALSE
CIC	Age	0.141951306587698	FALSE
IDH1	Age	0.150255082474446	FALSE
KMT2C	Sex	0.154500598182726	FALSE
POLE	Sex	0.154500598182726	FALSE
SMARCA4	Age	0.165799665323855	FALSE
CDKN2A	Sex	0.197854172476093	FALSE
LRP1B	Age	0.224045234779122	FALSE
POLE2	Age	0.260845736552938	FALSE
CHD6	Age	0.291516030541907	FALSE
GLI2	Age	0.291516030541907	FALSE
KMT2D	Age	0.291516030541907	FALSE
KMT5B	Age	0.291516030541907	FALSE
MSH4	Age	0.291516030541907	FALSE
SLCO1B3	Age	0.291516030541907	FALSE
ATM	Age	0.313143907327332	FALSE
CHD2	Age	0.313143907327332	FALSE
MSH3	Age	0.323783122749035	FALSE
ASXL1	Sex	0.338144521140572	FALSE
PIK3R1	Sex	0.338144521140572	FALSE
RPA3	Sex	0.361466212523677	FALSE
TOP3B	Sex	0.361466212523677	FALSE
XRCC1	Sex	0.361466212523677	FALSE
AKT1	Age	0.414985548627218	FALSE
POLD3	Age	0.414985548627218	FALSE
PPM1D	Age	0.414985548627218	FALSE
TTYH1	Age	0.414985548627218	FALSE
RAD51B	Age	0.420428406896061	FALSE
BCOR	Sex	0.442382529147994	FALSE
CHD7	Sex	0.442382529147994	FALSE
RAD54B	Age	0.457958886134525	FALSE
SEM1	Age	0.457958886134525	FALSE
H3-3A	Age	0.470918902059591	FALSE
CIC	Sex	0.527869294261956	FALSE
MSH6	Sex	0.527869294261956	FALSE
CREBBP	Age	0.534184727268031	FALSE
CHD6	Sex	0.592679147961844	FALSE
ETV6	Sex	0.592679147961844	FALSE
GLI2	Sex	0.592679147961844	FALSE
KMT2A	Sex	0.592679147961844	FALSE
MBD4	Sex	0.592679147961844	FALSE
MSH4	Sex	0.592679147961844	FALSE
APOBEC3A	Age	0.605086554021553	FALSE
BRAF	Sex	0.6341372143934	FALSE
RAD51B	Sex	0.6341372143934	FALSE
CREBBP	Sex	0.662011666959528	FALSE
H3-3A	Sex	0.666804279641102	FALSE
CDK6	Age	0.677755466473999	FALSE
ETV6	Age	0.677755466473999	FALSE
EXO1	Age	0.677755466473999	FALSE
KMT2A	Age	0.677755466473999	FALSE
PRDM6	Age	0.677755466473999	FALSE
SUFU	Age	0.677755466473999	FALSE
TOP3B	Age	0.677755466473999	FALSE
XRCC1	Age	0.677755466473999	FALSE
YAP1	Age	0.677755466473999	FALSE
FGFR1	Age	0.693264938335001	FALSE
PIK3R1	Age	0.693264938335001	FALSE
POLE	Age	0.693264938335001	FALSE
TP53	Sex	0.738920403284722	FALSE
ARID1A	Sex	0.76002397369477	FALSE
SMARCA4	Sex	0.76002397369477	FALSE
NF1	Age	0.760137065136247	FALSE
PDGFRA	Age	0.775843440056728	FALSE
