comparison	variable	value	chisq_pval
ATRX vs TP53	Age	(15,40]	0.00274
ATRX vs TP53	Age	[0,15]	0.01739
ATRX vs TP53	Sex	Male	0.0022
ATRX vs TP53	Sex	Female	0.02937
ATRX vs TP53	Age + Sex	(15,40]_Male	0.0353
ATRX vs TP53	Age + Sex	(15,40]_Female	0.15638
ATRX vs TP53	Age + Sex	[0,15]_Female	0.26395
ATRX vs TP53	Age + Sex	[0,15]_Male	0.09237
