comparison	variable	value	chisq_pval
NF1 vs ATRX	Age	(15,40]	0.9532
NF1 vs ATRX	Age	[0,15]	0.00107
NF1 vs ATRX	Sex	Male	0.62211
NF1 vs ATRX	Sex	Female	0.00384
NF1 vs ATRX	Age + Sex	(15,40]_Male	0.8524
NF1 vs ATRX	Age + Sex	(15,40]_Female	NA
NF1 vs ATRX	Age + Sex	[0,15]_Female	0.00219
NF1 vs ATRX	Age + Sex	[0,15]_Male	0.16
