Analysis_Type	age_two_group_pvalue	age_three_group_pvalue	gender_pvalue	rdt_cc_pvalue	rdt_name_pvalue	msi_pvalue	tmb_pvalue
Tumor-Normal	0.221	0.296	0.587	0.564	0.463	0.001	0.004
Tumor-only	0.193	0.272	0.477	0.558	0.422	0.678	0.162
