with_RNA	with_gencode
ABTB3	ABTB3
CSTPP1	CSTPP1
PHB1	PHB1
BLTP2	BLTP2
ENTREP1	ENTREP1
BLTP3B	BLTP3B
BLTP1	BLTP1
BLTP3A	BLTP3A
