with_RNA	with_gencode
ABTB3	ABTB3
RIMOC1	RIMOC1
INTS15	INTS15
ZNG1B	ZNG1B
ZFTRAF1	ZFTRAF1
GSTT1	GSTT1
HLA-DRB3	HLA-DRB3
HLA-DRB4	HLA-DRB4
BLTP2	BLTP2
BLTP1	BLTP1
MYL11	MYL11
PHB1	PHB1
BLTP3A	BLTP3A
BLTP3B	BLTP3B
PTGR3	PTGR3
