comparison	variable	value	chisq_pval
ATRX vs TP53	Age	(15,26]	0.00491
ATRX vs TP53	Age	(26,40]	NA
ATRX vs TP53	Age	[0,15]	0.01739
ATRX vs TP53	Sex	Male	0.0022
ATRX vs TP53	Sex	Female	0.02937
ATRX vs TP53	Age + Sex	(15,26]_Male	0.06004
ATRX vs TP53	Age + Sex	(26,40]_Female	NA
ATRX vs TP53	Age + Sex	[0,15]_Female	0.26395
ATRX vs TP53	Age + Sex	[0,15]_Male	0.09237
ATRX vs TP53	Age + Sex	(15,26]_Female	0.2059
ATRX vs TP53	Age + Sex	(26,40]_Male	NA
