comparison	variable	value	chisq_pval
NF1 vs ATRX	Age (Two Groups)	(15,40]	0.80106
NF1 vs ATRX	Age (Two Groups)	[0,15]	0.00188
NF1 vs ATRX	Age (Three Groups)	(15,26]	1
NF1 vs ATRX	Age (Three Groups)	(26,40]	NA
NF1 vs ATRX	Age (Three Groups)	[0,15]	0.00188
NF1 vs ATRX	Sex	Male	0.67556
NF1 vs ATRX	Sex	Female	0.01927
NF1 vs ATRX	Age (Two Groups) + Sex	(15,40]_Male	0.8524
NF1 vs ATRX	Age (Two Groups) + Sex	(15,40]_Female	1
NF1 vs ATRX	Age (Two Groups) + Sex	[0,15]_Female	0.00219
NF1 vs ATRX	Age (Two Groups) + Sex	[0,15]_Male	0.22354
NF1 vs ATRX	Age (Three Groups) + Sex	(15,26]_Male	1
NF1 vs ATRX	Age (Three Groups) + Sex	(26,40]_Female	NA
NF1 vs ATRX	Age (Three Groups) + Sex	[0,15]_Female	0.00219
NF1 vs ATRX	Age (Three Groups) + Sex	[0,15]_Male	0.22354
NF1 vs ATRX	Age (Three Groups) + Sex	(15,26]_Female	NA
NF1 vs ATRX	Age (Three Groups) + Sex	(26,40]_Male	NA
