gene	variable	chisq_test_pval	signif
ALK	Age_Three_Groups	0.00254057062184003	TRUE
CCND1	Age_Three_Groups	0.0173123003337615	TRUE
MUTYH	Age_Three_Groups	0.0173123003337615	TRUE
FYN	Age_Two_Groups	0.0234113831143054	TRUE
FYN	Age_Three_Groups	0.0257772814672836	TRUE
PIK3R1	Age_Three_Groups	0.0297963616872248	TRUE
IDH1	Sex	0.0434244184674244	TRUE
TSC2	Sex	0.0434244184674244	TRUE
EGFR	Sex	0.0457938498156624	TRUE
NF1	Sex	0.0468581633100505	TRUE
NTRK3	Age_Two_Groups	0.0619704614966799	FALSE
NTRK3	Age_Three_Groups	0.0836896906147156	FALSE
GAB2	Age_Three_Groups	0.109544045189498	FALSE
PDGFRA	Sex	0.119528717206302	FALSE
CDKN2A	Sex	0.121753565650532	FALSE
IDH1	Age_Three_Groups	0.128371461764975	FALSE
CIC	Age_Two_Groups	0.139059919743676	FALSE
MSH3	Age_Two_Groups	0.139059919743676	FALSE
ATRX	Age_Three_Groups	0.140150776504067	FALSE
CIC	Age_Three_Groups	0.143957653975748	FALSE
MSH3	Age_Three_Groups	0.143957653975748	FALSE
IDH1	Age_Two_Groups	0.146874996768092	FALSE
H3-3A	Age_Three_Groups	0.148283018533016	FALSE
POLE	Sex	0.15008785580081	FALSE
NF1	Age_Three_Groups	0.161292252019471	FALSE
ROS1	Age_Two_Groups	0.169554551875277	FALSE
ROS1	Age_Three_Groups	0.180932064951214	FALSE
AKT2	Age_Three_Groups	0.181501110562644	FALSE
KMT2C	Sex	0.20717525164549	FALSE
GOLPH3	Age_Three_Groups	0.223439183661306	FALSE
RAD54B	Age_Three_Groups	0.22400119415238	FALSE
IGF1R	Age_Two_Groups	0.232257226616865	FALSE
RAD51B	Age_Two_Groups	0.234346241158004	FALSE
NTRK3	Sex	0.243248266515224	FALSE
IGF1R	Age_Three_Groups	0.248576035300165	FALSE
PDGFRA	Age_Three_Groups	0.248848975429046	FALSE
PIK3C2G	Age_Three_Groups	0.248848975429046	FALSE
POLE2	Age_Three_Groups	0.259864852057628	FALSE
POLE2	Age_Two_Groups	0.265273856480798	FALSE
BLM	Age_Three_Groups	0.267587180012066	FALSE
BRCA2	Age_Three_Groups	0.267587180012066	FALSE
CCND2	Age_Three_Groups	0.267587180012066	FALSE
CDKN1B	Age_Three_Groups	0.267587180012066	FALSE
FBXW7	Age_Three_Groups	0.267587180012066	FALSE
LIG1	Age_Three_Groups	0.267587180012066	FALSE
OGG1	Age_Three_Groups	0.267587180012066	FALSE
PIK3C2B	Age_Three_Groups	0.267587180012066	FALSE
POLB	Age_Three_Groups	0.267587180012066	FALSE
POLD4	Age_Three_Groups	0.267587180012066	FALSE
POLE4	Age_Three_Groups	0.267587180012066	FALSE
RAD50	Age_Three_Groups	0.267587180012066	FALSE
RAD51	Age_Three_Groups	0.267587180012066	FALSE
GAB2	Age_Two_Groups	0.288040637489761	FALSE
FGFR1	Age_Three_Groups	0.294135299530407	FALSE
POLE	Age_Three_Groups	0.294135299530407	FALSE
SLCO1B3	Age_Three_Groups	0.294135299530407	FALSE
ATM	Age_Two_Groups	0.307514135967422	FALSE
RAD51B	Age_Three_Groups	0.318079303424451	FALSE
RAD54B	Age_Two_Groups	0.318605487346604	FALSE
NFIB	Age_Three_Groups	0.320350387607233	FALSE
XRCC1	Age_Three_Groups	0.320350387607233	FALSE
ATM	Age_Three_Groups	0.337580792131797	FALSE
ASXL1	Sex	0.345712596700144	FALSE
PDGFC	Sex	0.350865624282876	FALSE
RPA3	Sex	0.354804644110879	FALSE
TOP2A	Sex	0.354804644110879	FALSE
TOP3B	Sex	0.354804644110879	FALSE
PPM1D	Age_Three_Groups	0.359612839264404	FALSE
